Inicio: 25/11/2023 19:09:30,80 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: video-error-key.txt
25/11/2023 19:09:30,81 122642
25/11/2023 19:09:36,19 123407
25/11/2023 19:09:39,37 123322
25/11/2023 19:09:45,13 123319
25/11/2023 19:09:50,14 122755
25/11/2023 19:09:56,17 122776
25/11/2023 19:10:02,21 122146
25/11/2023 19:10:08,12 121746
25/11/2023 19:10:13,18 124786
25/11/2023 19:10:19,20 162487
25/11/2023 19:10:25,18 164196
25/11/2023 19:10:31,20 162620
25/11/2023 19:10:37,22 161735
25/11/2023 19:10:43,21 142329
25/11/2023 19:10:49,14 164581
25/11/2023 19:10:54,16 163742
25/11/2023 19:11:00,15 166087
25/11/2023 19:11:05,12 162937
25/11/2023 19:11:10,13 161235
25/11/2023 19:11:16,14 163131
25/11/2023 19:11:22,15 160130
25/11/2023 19:11:27,16 162490
25/11/2023 19:11:33,19 160854
25/11/2023 19:11:39,18 140216
25/11/2023 19:11:45,11 139112
25/11/2023 19:11:50,22 138923
25/11/2023 19:11:56,11 142540
25/11/2023 19:12:01,14 139921
25/11/2023 19:12:06,16 113143
25/11/2023 19:12:12,15 114086
25/11/2023 19:12:18,13 114074
25/11/2023 19:12:24,18 132178
25/11/2023 19:12:30,19 127472
25/11/2023 19:12:36,20 126958
25/11/2023 19:12:42,16 127311
25/11/2023 19:12:48,20 126717
25/11/2023 19:12:50,99 129862
25/11/2023 19:12:56,12 129836
25/11/2023 19:13:01,12 129563
25/11/2023 19:13:07,18 132768
25/11/2023 19:13:13,13 129640
25/11/2023 19:13:19,18 129610
25/11/2023 19:13:25,22 131472
25/11/2023 19:13:31,16 131153
25/11/2023 19:13:37,21 129477
25/11/2023 19:13:43,14 129435
25/11/2023 19:13:49,17 129410
25/11/2023 19:13:55,22 129410
25/11/2023 19:14:01,17 139215
25/11/2023 19:14:07,19 139364
25/11/2023 19:14:13,13 110110
25/11/2023 19:14:19,18 110640
25/11/2023 19:14:25,18 110666
25/11/2023 19:14:31,12 127427
25/11/2023 19:14:37,21 122751
25/11/2023 19:14:43,22 122135
25/11/2023 19:14:49,12 123290
25/11/2023 19:14:54,14 122494
25/11/2023 19:15:00,12 126497
25/11/2023 19:15:05,15 126008
25/11/2023 19:15:11,20 129366
25/11/2023 19:15:17,17 126250
25/11/2023 19:15:23,18 126173
25/11/2023 19:15:29,20 127868
25/11/2023 19:15:35,22 125092
25/11/2023 19:15:41,21 127534
25/11/2023 19:15:47,16 125716
25/11/2023 19:15:53,22 125687
25/11/2023 19:15:59,15 125680
25/11/2023 19:16:05,16 125692
25/11/2023 19:16:11,18 135959
25/11/2023 19:16:17,14 107757
25/11/2023 19:16:23,16 108719
25/11/2023 19:16:29,17 108806
25/11/2023 19:16:35,18 127315
25/11/2023 19:16:41,21 121899
25/11/2023 19:16:47,22 122539
25/11/2023 19:16:53,17 122063
25/11/2023 19:16:59,16 121891
25/11/2023 19:17:04,17 124948
25/11/2023 19:17:10,19 124964
25/11/2023 19:17:16,22 124962
25/11/2023 19:17:22,16 120020
25/11/2023 19:17:28,22 114169
25/11/2023 19:17:34,17 117136
25/11/2023 19:17:40,20 114177
25/11/2023 19:17:46,12 116555
25/11/2023 19:17:52,18 114789
25/11/2023 19:17:58,22 115004
25/11/2023 19:18:04,15 114980
25/11/2023 19:18:10,19 114994
25/11/2023 19:18:16,15 125962
25/11/2023 19:18:22,17 126101
25/11/2023 19:18:28,19 100261
25/11/2023 19:18:34,20 100495
25/11/2023 19:18:40,23 118726
25/11/2023 19:18:46,16 113596
25/11/2023 19:18:52,17 113884
25/11/2023 19:18:58,18 78916
25/11/2023 19:19:04,13 113400
25/11/2023 19:19:09,13 116208
25/11/2023 19:19:15,20 116409
25/11/2023 19:19:21,12 116369
25/11/2023 19:19:26,16 119035
25/11/2023 19:19:32,16 115633
25/11/2023 19:19:38,20 115614
25/11/2023 19:19:44,14 117548
25/11/2023 19:19:49,17 117104
25/11/2023 19:19:55,19 115420
25/11/2023 19:20:01,22 115388
25/11/2023 19:20:07,20 115410
25/11/2023 19:20:13,17 115378
25/11/2023 19:20:19,22 125521
25/11/2023 19:20:25,12 126230
25/11/2023 19:20:30,15 99015
25/11/2023 19:20:36,19 100032
25/11/2023 19:20:42,20 100076
25/11/2023 19:20:48,20 118526
25/11/2023 19:20:54,17 109825
25/11/2023 19:21:00,17 113169
25/11/2023 19:21:05,16 113100
25/11/2023 19:21:10,16 113068
25/11/2023 19:21:15,19 115912
25/11/2023 19:21:21,21 116096
25/11/2023 19:21:27,12 116080
25/11/2023 19:21:32,14 118902
25/11/2023 19:21:38,16 116006
25/11/2023 19:21:44,18 115994
25/11/2023 19:21:50,19 117611
25/11/2023 19:21:56,22 117245
25/11/2023 19:22:02,13 115443
25/11/2023 19:22:07,18 115294
25/11/2023 19:22:13,19 114634
25/11/2023 19:22:19,15 114614
25/11/2023 19:22:25,17 113565
25/11/2023 19:22:31,11 125510
25/11/2023 19:22:37,17 99005
25/11/2023 19:22:43,18 99797
25/11/2023 19:22:49,21 99879
25/11/2023 19:22:55,15 117914
25/11/2023 19:23:01,18 113299
25/11/2023 19:23:07,19 112821
25/11/2023 19:23:13,17 113362
25/11/2023 19:23:19,19 112824
25/11/2023 19:23:25,18 116438
25/11/2023 19:23:31,20 116098
25/11/2023 19:23:37,22 118877
25/11/2023 19:23:43,14 115858
25/11/2023 19:23:48,17 115724
25/11/2023 19:23:54,15 117397
25/11/2023 19:24:00,20 114554
25/11/2023 19:24:06,20 117307
25/11/2023 19:24:12,19 115526
25/11/2023 19:24:18,22 115506
25/11/2023 19:24:24,21 115516
25/11/2023 19:24:30,15 115522
25/11/2023 19:24:36,17 126732
25/11/2023 19:24:42,20 100111
25/11/2023 19:24:48,21 101066
25/11/2023 19:24:54,15 101099
25/11/2023 19:25:00,19 119223
25/11/2023 19:25:06,13 113853
25/11/2023 19:25:11,12 114460
25/11/2023 19:25:17,20 114012
25/11/2023 19:25:23,15 113900
25/11/2023 19:25:29,16 117379
25/11/2023 19:25:35,16 117345
25/11/2023 19:25:41,19 117329
25/11/2023 19:25:47,21 120412
25/11/2023 19:25:53,15 117340
25/11/2023 19:25:59,19 117260
